LNRS ID,LNRS Name,URL
32,Bedfordshire,https://bedfordshirenaturally.com/beds-lnrs/
37,Berkshire,https://rbwmtogether.rbwm.gov.uk/berkshire-lnrs-public-consultation-page
31,Buckinghamshire and Milton Keynes,https://bucksmknep.co.uk/nature-strategy/local-nature-recovery-strategy-for-buckinghamshire-and-milton-keynes/
26,Cambridgeshire and Peterborough,https://www.cambridgeshire.gov.uk/residents/climate-change-energy-and-environment/improving-the-natural-environment/cambridgeshire-and-peterborough-local-nature-recovery-strategy
13,Cheshire,https://cheshirelnp.co.uk/local-nature-recovery-strategy/
41,Cornwall and the Isles of Scilly,https://letstalk.cornwall.gov.uk/nature-recovery-plan-overview
3,County Durham,https://www.durham.gov.uk/article/30548/Local-Nature-Recovery-Strategy
2,Cumbria,https://cumbrialnrs.org.uk/homepage-0
14,Derbyshire,https://derbyshirenaturerecovery.co.uk/
42,Devon,https://www.devonlnp.org.uk/our-work/local-nature-recovery-strategy/
44,Dorset,https://www.dorsetcouncil.gov.uk/nature-recovery
48,East Sussex and Brighton & Hove,
29,Gloucestershire,https://www.gloucestershire.gov.uk/planning-and-environment/ecology-and-landscape/gloucestershire-local-nature-recovery-strategy/
34,Greater Essex,https://www.essex.gov.uk/about-council/plans-and-strategies/environment-and-planning/local-nature-recovery-strategy
16,Greater Lincolnshire,
39,Greater London,https://www.london.gov.uk/programmes-strategies/environment-and-climate-change/parks-green-spaces-and-biodiversity/local-nature-recovery-strategy
11,Greater Manchester,https://www.greatermanchester-ca.gov.uk/what-we-do/environment/natural-environment/our-plan-for-nature-recovery/what-does-our-plan-for-nature-cover/
45,Hampshire,https://www.hants.gov.uk/landplanningandenvironment/nature-recovery-hampshire/hampshire-strategy
20,Herefordshire,
33,Hertfordshire,https://www.hertfordshire.gov.uk/about-the-council/how-the-council-works/partnerships/herts-nature-recovery-partnership/local-nature-recovery-strategy.aspx
9,Hull and East Yorkshire,https://www.eastriding.gov.uk/environment/sustainable-environment/nature-conservation-and-wildlife/local-nature-recovery-strategy/
46,Isle of Wight,https://www.islandnature.org/
40,Kent and Medway,https://www.makingspacefornaturekent.org.uk/
6,Lancashire,https://www.lancashire.gov.uk/council/strategies-policies-plans/environmental/local-nature-recovery-strategy/
19,"Leicestershire, Leicester and Rutland",https://www.leicestershire.gov.uk/environment-and-planning/local-nature-recovery-strategy/leicestershire-leicester-and-rutland-local-nature-recovery-strategy
10,Liverpool City Region,https://www.liverpoolcityregion-ca.gov.uk/local-nature-recovery-strategy
27,Norfolk,https://www.norfolk.gov.uk/article/39010/What-a-Local-Nature-Recovery-Strategy-is
25,North Northamptonshire,https://www.northnorthants.gov.uk/conservation-and-protection/local-nature-recovery-strategy
1,North of Tyne,https://www.northeast-ca.gov.uk/north-of-tyne-local-nature-recovery-strategy
7,North Yorkshire and York,https://www.northyorks.gov.uk/local-nature-recovery-strategy-documents
15,Nottinghamshire and Nottingham,https://nottsnaturerecovery.co.uk/index.php
30,Oxfordshire,https://www.oxfordshire.gov.uk/residents/environment-and-planning/local-nature-recovery-strategy-lnrs
17,Shropshire and Telford & Wrekin,https://next.shropshire.gov.uk/environment/shropshire-and-telford-wrekin-local-nature-recovery-strategy/
43,Somerset,https://www.somersetlnp.org.uk/local-nature-recovery-strategy
4,South of Tyne and Wear,https://www.natureplan.org.uk/home
12,South Yorkshire,
18,Staffordshire and Stoke-on-Trent,
28,Suffolk,https://www.suffolk.gov.uk/planning-waste-and-environment/local-nature-recovery-strategy-lnrs
38,Surrey,https://www.surreycc.gov.uk/land-planning-and-development/local-nature-recovery-strategy-lnrs
5,Tees Valley,
23,Warwickshire,
22,West Midlands,https://maps.warwickshire.gov.uk/LNRS/
24,West Northamptonshire,
35,West of England,https://www.westofengland-ca.gov.uk/what-we-do/environment/the-local-nature-recovery-strategy/
47,West Sussex,
8,West Yorkshire,https://ehq-production-europe.s3.eu-west-1.amazonaws.com/59eda976d7c8799e3bec50c3a624177f992f52f7/original/1760967285/eff541432d4e629cc24aae242b7d0c25_WY%20Local%20Nature%20Recovery%20Strategy%20draft%20for%20consultation.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4KKNQAKIPIPQP5NM%2F20260606%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20260606T112248Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&X-Amz-Signature=865de13e54b81b4499a064c63ad158bd16434e5fdf558605ceab6300e0185158
36,Wiltshire and Swindon,https://www.wiltshire.gov.uk/local-nature-recovery-strategy
21,Worcestershire,https://www.worcestershire.gov.uk/council-services/planning-and-developments/environmental-policy/worcestershire-local-nature-recovery-strategy-lnrs
